Year,Region,Art der Bewirtschaftung,Value
2008,Enzkreis,Konventionell bewirtschaftete Fläche [%],91.0
2010,Enzkreis,Konventionell bewirtschaftete Fläche [%],90.0
2013,Enzkreis,Konventionell bewirtschaftete Fläche [%],89.0
2015,Enzkreis,Konventionell bewirtschaftete Fläche [%],89.0
2016,Enzkreis,Konventionell bewirtschaftete Fläche [%],85.0
2017,Enzkreis,Konventionell bewirtschaftete Fläche [%],86.0
2018,Enzkreis,Konventionell bewirtschaftete Fläche [%],83.0
2019,Enzkreis,Konventionell bewirtschaftete Fläche [%],82.0
2020,Enzkreis,Konventionell bewirtschaftete Fläche [%],81.0
2021,Enzkreis,Konventionell bewirtschaftete Fläche [%],81.0
2008,Enzkreis,Ökologisch bewirtschaftete Fläche [%],9.0
2010,Enzkreis,Ökologisch bewirtschaftete Fläche [%],10.0
2013,Enzkreis,Ökologisch bewirtschaftete Fläche [%],11.0
2015,Enzkreis,Ökologisch bewirtschaftete Fläche [%],11.0
2016,Enzkreis,Ökologisch bewirtschaftete Fläche [%],15.0
2017,Enzkreis,Ökologisch bewirtschaftete Fläche [%],14.0
2018,Enzkreis,Ökologisch bewirtschaftete Fläche [%],17.0
2019,Enzkreis,Ökologisch bewirtschaftete Fläche [%],18.0
2020,Enzkreis,Ökologisch bewirtschaftete Fläche [%],19.0
2021,Enzkreis,Ökologisch bewirtschaftete Fläche [%],19.0
2008,Land BW,Ökologisch bewirtschaftete Fläche [%],6.5
2010,Land BW,Ökologisch bewirtschaftete Fläche [%],7.0
2013,Land BW,Ökologisch bewirtschaftete Fläche [%],7.8
2015,Land BW,Ökologisch bewirtschaftete Fläche [%],8.5
2016,Land BW,Ökologisch bewirtschaftete Fläche [%],9.3
2017,Land BW,Ökologisch bewirtschaftete Fläche [%],10.0
2018,Land BW,Ökologisch bewirtschaftete Fläche [%],10.0
2019,Land BW,Ökologisch bewirtschaftete Fläche [%],11.0
2020,Land BW,Ökologisch bewirtschaftete Fläche [%],12.3
2021,Land BW,Ökologisch bewirtschaftete Fläche [%],14.5
2008,Land BW,Konventionell bewirtschaftete Fläche [%],93.5
2010,Land BW,Konventionell bewirtschaftete Fläche [%],93.0
2013,Land BW,Konventionell bewirtschaftete Fläche [%],92.2
2015,Land BW,Konventionell bewirtschaftete Fläche [%],91.5
2016,Land BW,Konventionell bewirtschaftete Fläche [%],90.7
2017,Land BW,Konventionell bewirtschaftete Fläche [%],90.0
2018,Land BW,Konventionell bewirtschaftete Fläche [%],90.0
2019,Land BW,Konventionell bewirtschaftete Fläche [%],89.0
2020,Land BW,Konventionell bewirtschaftete Fläche [%],87.7
2021,Land BW,Konventionell bewirtschaftete Fläche [%],85.5
